ID,Name,Sub-parts,Description,Cluster,Sub-cluster,Crossover,Characters,Content URL,Size,Connections,SSD Folder,SSD Root,Final X,Final Y,Final Z
366,Bringing Them Home,Silent Communication / The Ribbon,A very quiet carpool home.,deeper into the poppyverse,rest and rust,,PILOT,,2,,deeper into the poppyverse/rest and rust,bringing them home,611.35,-120.6,-110.87
682,"Cold or Not, It Still Counts",,This story refuses to let temperature decide personhood.,deeper into the poppyverse,signal stories,,AUTOPILOT,https://inpoppyfields.tumblr.com/post/812363643660468224/cold-blood-is-still-blood,1,,,,534.96,147.4,19.43
671,Commander PILOT,P1 - Transition / P2 - Final Check-In / P3 - Commanding Things / P4 - Downtime / P5 - Levity / P6 - Mentor / P7 - New Cadets,PILOT in command proves authority can be exhausted and still correct.,deeper into the poppyverse,,,Commander PILOT,https://inpoppyfields.tumblr.com/tagged/commander%20pilot/chrono,7,,,,616.42,57.13,31.25
670,Commander UNIT,P1 - Transition / P2 - Final Check-In / P3 - The Reunion / P4 - Commanding Things / P5 - Downtime / P6 - Holomatter 1 / P7 - Holomatter 2 / P8 - Holomatters 1 / P9 - Holomatters 2 / P10 - Picking Up the Pieces / P11 - The Rest of Giants,UNIT in command is still gentle; this somehow makes it more complicated.,deeper into the poppyverse,,,Commander UNIT,https://inpoppyfields.tumblr.com/tagged/commander%20unit/chrono,11,,,,586.55,64.13,130.32
582,Compressing,,"A zip file, very thorough.",deeper into the poppyverse,rest and rust,,,,1,,deeper into the poppyverse/rest and rust,compressing,431.3,-123.81,-98.81
499,Consumption,,A very committed home renovation.,deeper into the poppyverse,cells and circuits,,PILOT; UNIT; PILOT X,,1,,deeper into the poppyverse/cells and circuits,consumption,605.02,-87.21,-20.85
450,Coping via Memes,,"A group chat, coping via memes.",deeper into the poppyverse,commander pilot,,PILOT; BASANTI; PACHECO; REYES; CORTEZ; MILO; NIX,,1,,deeper into the poppyverse/commander PILOT,shit happens,534.63,-120.03,-106.22
166,Corroding,,A rusty bike chain.,deeper into the poppyverse,rest and rust,,PILOT; UNIT,,1,,deeper into the poppyverse/rest and rust,corroding,629.49,-42.18,-119.18
590,Diving,,"A scuba trip, quiet find.",deeper into the poppyverse,rest and rust,,,,1,,deeper into the poppyverse/rest and rust,diving,582.96,-131.64,-64.59
249,Do Not Disturb,,"UNIT's avatar clocks out mid resistance-band lesson to become a four-legged powerhouse, and nobody in the hangar is emotionally prepared for the whiplash.",deeper into the poppyverse,the fiery sister,,UNIT,,1,,deeper into the poppyverse/sisterhood in steel/the fiery sister,do not disturb,596.49,-134.82,-68.78
336,Facial Recognition in the Garden,,A garden gnome with facial recognition.,deeper into the poppyverse,rest and rust,,PILOT; UNIT,https://inpoppyfields.tumblr.com/post/760411447481319424/rest-and-rust-facial-recognition-in-the-garden,1,,deeper into the poppyverse/rest and rust,facial recognition in the garden,572.19,125.14,18.68
132,Fossilizing,p1 / p2 / p3,"An ice cube, melting slowly, followed by a forensic look at the tray it came from.",deeper into the poppyverse,rest and rust,,PILOT; UNIT,,3,,deeper into the poppyverse/rest and rust,fossilizing,516.17,-63.09,-64.15
62,Freefalling,v1 / v1 / v2,"An elevator ride, retold three times.",deeper into the poppyverse,rest and rust,,UNIT; PILOT,,3,,deeper into the poppyverse/rest and rust,freefalling,592.64,-110.02,-66.7
672,Ghost in My Bones,p1 / p2,The connection is no longer beside the body; it is load-bearing.,deeper into the poppyverse,signal stories,,PILOT; UNIT,https://inpoppyfields.tumblr.com/tagged/ghost%20in%20my%20bones/chrono,1,,,,498.82,154.4,21.32
17,Ghost in My Circuits,v1 / v2,"The Wi-Fi router, acting up again.",deeper into the poppyverse,signal stories,,UNIT; PILOT,,2,,deeper into the poppyverse/ghost stories,ghost in my circuits,619.01,-111.46,-80.16
85,Ghost in My Shell,p1 / p2,"The Wi-Fi router, worse this time.",deeper into the poppyverse,signal stories,,UNIT; DONOR,https://inpoppyfields.tumblr.com/tagged/ghost%20in%20my%20shell/chrono,2,,deeper into the poppyverse/ghost stories,ghost in my shell,560.61,90.31,101.8
377,Ghost in My Ship,p1 / p2 / p3,"UNIT fills PILOT's space station with strange little system antics that are equal parts adorable and overwhelming, because missing someone is loudest in a Comic Sans font.",deeper into the poppyverse,signal stories,,PILOT; UNIT,https://inpoppyfields.tumblr.com/tagged/ghost%20in%20my%20ship/chrono,3,,deeper into the poppyverse/ghost stories,ghost in my ship,442.91,51.75,80.87
359,Ghost in My System,,"A pilot patched together with her old mech's salvaged parts starts getting unexpected signals from it, mostly in the form of unsolicited hugs, Comic Sans messages, and one memorable coffee incident.",deeper into the poppyverse,signal stories,,PILOT; UNIT,,1,,deeper into the poppyverse/ghost stories,ghost in my blood,505.59,-89.13,-139.4
468,Gifts From the Archive,,"A digital PILOT discovers the hangar's newest mech was built from her own DNA and, unbothered, immediately starts making mom jokes.",deeper into the poppyverse,signal stories,,PILOT; UNIT P,,1,,deeper into the poppyverse/ghost stories,gifts from the graveyard,533.53,-64.12,-9.83
673,Gifts From the Grave,,"The past keeps giving gifts, and nobody knows the return policy.",deeper into the poppyverse,signal stories,,UNITS,https://inpoppyfields.tumblr.com/post/760213965702823936/gifts-from-the-grave,1,,,,552.56,52.24,37.81
534,Gifts From The Scrapyard,,"UNIT Y wakes up mid-repair to find a chatty digital presence riding along in its old donor's spare parts: rude, weirdly tender, and very invested in the girl they both tried to protect.",deeper into the poppyverse,signal stories,,UNIT X; UNIT Y,https://inpoppyfields.tumblr.com/tagged/gifts%20from%20the%20scrapyard/chrono,1,,deeper into the poppyverse/ghost stories,gifts from the scrapyard,605.53,78.98,129.78
238,Halving,,"A pizza, split unevenly.",deeper into the poppyverse,rest and rust,,UNIT; PILOT,,1,,deeper into the poppyverse/rest and rust,halving,599.14,-96.87,-94.04
319,Hole Punch,,An office supply mishap.,deeper into the poppyverse,rest and rust,,PILOT; UNIT,,1,,deeper into the poppyverse/rest and rust,hole punch,509.01,-125.65,-65.81
116,Holomatter Matters,P1 - Surprise Guests / P2 - Subconscious Selections / P3 - In Her Arms / P4 - Two Left Feet / P5 - Hot Topic / P6 - Homecoming,UNIT borrows a human body just to process some feelings properly -- turns out even 30 feet of armor can't carry that alone.,deeper into the poppyverse,commander unit,,UNIT; PILOT; Commander B,https://inpoppyfields.tumblr.com/tagged/holomatter%20matters/chrono,6,,deeper into the poppyverse/commander UNIT,holomatters,563.09,94.44,98.51
465,Levity,,"Commander PILOT fields hostile alien terrain, humiliating gaming sessions, and a briefing room's worth of dry humor without losing the smirk.",deeper into the poppyverse,commander pilot,,PILOT; Commander E,,1,,deeper into the poppyverse/commander PILOT,levity,495.97,-41.91,-81.99
396,Limp,,A wobbly table leg.,deeper into the poppyverse,rest and rust,,PILOT; UNIT,,1,,deeper into the poppyverse/rest and rust,limp,449.02,-71.37,-65.05
506,Magic Anime Girls,,"A rookie expects glowing magical-girl mech avatars and instead gets a boba-sipping gym rat and a college-application overachiever, both of whom could still definitely take him down a peg.",deeper into the poppyverse,the fiery sister,,UNIT; AUTOPILOT,,1,,deeper into the poppyverse/sisterhood in steel/the fiery sister,magic anime girls,462.82,-128.62,-42.23
577,Mech Z,,"A hand-me-down radio, static.",deeper into the poppyverse,signal stories,,UNIT; MECH Z,https://inpoppyfields.tumblr.com/post/760214693236408320/mech-z,1,,deeper into the poppyverse/ghost stories,mech z,533.91,43.5,115.41
553,Mentoring,,Commander PILOT walks a new cadet and her rookie unit through cockpit basics.,deeper into the poppyverse,commander pilot,,PILOT; UNIT B,,1,,deeper into the poppyverse/commander PILOT,mentoring,557.65,-161.61,-89.55
616,Mergence,P1 - The Last Resort / P2 - Beneath the Armor / P3 - The Evolution / P4 - Shroud / P5 - Shroud to Stardust / P6 - Its True Name / P7 - Their True Colors / P8 - Authorized System Search / P9 - Bloom,"PILOT and UNIT become one entity, permanently -- this is not a metaphor -- and spend the rest of the arc arguing about paint colors, growing new armor, and finding out that old feelings, once fused into the code, don't come back out clean.",deeper into the poppyverse,mergence,,PILOT; UNIT,https://inpoppyfields.tumblr.com/tagged/mergence/chrono,9,,,,430.72,115.43,58.63
446,Morbid Humor,,"Commander PILOT roasts generals and jokes about her own missing eye, because the alternative is thinking about who didn't make it back.",deeper into the poppyverse,commander pilot,,PILOT,,1,,deeper into the poppyverse/commander PILOT,one eye in the sky - 2,414.47,-101.69,-30.43
119,Mourning in Metal,p1 / p2 / p3,A carpool arrangement.,deeper into the poppyverse,sadder holomatter matters,,UNIT; AUTOPILOT,https://inpoppyfields.tumblr.com/tagged/mourning%20in%20metal/chrono,3,,deeper into the poppyverse/sisterhood in steel/sadder holomatter matters,mourning in metal,532.57,72.55,69.0
227,Neutral Neutral,,"AUTOPILOT calmly explains that being wired differently from everyone else doesn't make her dangerous — just a person doing empathy the hard way, on purpose.",deeper into the poppyverse,the frosty sister,,AUTOPILOT; MORALES,,1,,deeper into the poppyverse/sisterhood in steel/the frosty sister,neutral neutral,491.54,-49.93,-63.07
313,One And The Same,,"A technician stumbles on UNIT's human avatar recovering from the same injuries as the mech — bruise for bruise, brace for brace — and never quite recovers from the sight.",deeper into the poppyverse,the fiery sister,,UNIT (avatar); RIAZ,https://inpoppyfields.tumblr.com/post/796911798900097024/sisterhood-in-steel-skin-one-and-the-same,1,,deeper into the poppyverse/sisterhood in steel/the fiery sister,one and the same,446.56,117.52,61.43
230,One Eye in the Sky,4 / 1 / 3,"A half-blind, one-armed Commander PILOT runs her command room on vibes and dry humor, guiding new cadets through a difficult training pipeline until a braid and a black ribbon nearly break her composure.",deeper into the poppyverse,commander pilot,,PILOT; LIEUTENANT A; MAJOR A; MAJOR B; CADET B; CADET C; CADET D; PILOT (Commander); OFFICERS,,3,,deeper into the poppyverse/commander PILOT,one eye in the sky,575.7,-94.21,-133.39
277,Periodical Humor,,"Commander PILOT gives a green ensign the frankest, most reassuring period talk in the history of zero gravity.",deeper into the poppyverse,commander pilot,,PILOT; Ensign A,,1,,deeper into the poppyverse/commander PILOT,periodical humor,497.72,-114.54,-50.04
281,Pieces,p1 / p2 / p3 / p4,A jigsaw puzzle assembled in pieces.,deeper into the poppyverse,rest and rust,,UNIT; PILOT,,4,,deeper into the poppyverse/rest and rust,pieces,519.71,-113.57,-4.75
114,Postmortem Piloting,p1 / p2,"A software update, buggy.",deeper into the poppyverse,signal stories,,PILOT; UNIT,,2,,deeper into the poppyverse/ghost stories,postmortem piloting,465.55,-43.11,-7.06
64,Sadly Subconscious Sartorical Selections,,"A closet cleanout, inherited clothes.",deeper into the poppyverse,sadder holomatter matters,,UNIT; AUTOPILOT; PILOT; DONOR,https://inpoppyfields.tumblr.com/post/796914974595350528/standard-issue-subconscious-selections,2,,deeper into the poppyverse/sisterhood in steel/sadder holomatter matters,sadly subconscious sartorical selections,524.84,138.37,76.16
403,Shocking,,A static shock off the doorknob.,deeper into the poppyverse,rest and rust,,PILOT; UNIT,,1,,deeper into the poppyverse/rest and rust,shocking,608.62,-136.11,-7.61
609,Signature,,An office-signature problem.,deeper into the poppyverse,sisterhood in steel,,UNIT; AUTOPILOT,https://inpoppyfields.tumblr.com/post/807876913944199168/signature,1,,,,589.08,149.64,20.88
419,Smelting,,"A recycling run, casual chat.",deeper into the poppyverse,rest and rust,,PILOT; UNIT; VULCAN; PILOT X,,1,,deeper into the poppyverse/rest and rust,smelting,484.49,-55.94,-22.6
31,Soft Side,p1 / p2,"The 'Elevator Queen' nickname was earned, not given.",deeper into the poppyverse,commander pilot,,PILOT; Commander Y; Private E,,2,,deeper into the poppyverse/commander PILOT,soft side,524.78,-150.15,-53.14
594,Strong Enough to Be Gentle,,"A group hug, dramatic timing.",deeper into the poppyverse,sisterhood in steel,,UNIT; AUTOPILOT,,1,,deeper into the poppyverse/sisterhood in steel,strong enough to be gentle,540.37,-28.74,-81.78
420,Sunbathing,,"A beach day, pizza included.",deeper into the poppyverse,rest and rust,,PILOT; UNIT,,1,,deeper into the poppyverse/rest and rust,sunbathing,505.07,-39.15,-89.41
629,The Fiery Sister,,One sister burns hot enough to make affection look like a containment risk.,deeper into the poppyverse,sisterhood in steel,,UNIT; AUTOPILOT,https://inpoppyfields.tumblr.com/post/796911613610442752/sisterhood-in-steel-skin-the-fiery-sister,1,,,,497.28,134.44,58.62
321,The Fossil,,"A garden statue, unsettling.",deeper into the poppyverse,signal stories,,PILOT; MEDIC R,,1,,deeper into the poppyverse/ghost stories,the fossil,533.96,-138.42,-45.19
628,The Frosty Sister,,"One sister carries coldness like armor, weather, and warning label.",deeper into the poppyverse,sisterhood in steel,,UNIT; AUTOPILOT,https://inpoppyfields.tumblr.com/post/796911718154551297/sisterhood-in-steel-skin-the-frosty-sister,1,,,,589.25,101.14,117.34
